Confortante;O Nosso Menu;Elaborado com maior cuidado e dedicação, para proporcionar-lhe um momento deliciosamente confortante.;;;;;;;;;;
Loja;Código;Familia;Sub Família;Regiao;Descrição;Composição;PVP1;Foto;status;ordem na Gfamilia;ordem na familia;Ordem Regiao
1;735;EMENTA;SOPAS & SALADAS;;Creme de Legumes (ADULTO);;2,75;;0;1;3;
1;407;EMENTA;CARIL;;Caril de Camarão;Caril vermelho da Tailândia com camarão, arroz selvagem e frutos secos;15,95;Caril_g.jpg;1;1;4;
1;712;EMENTA;CARIL;;Caril de Porco;Caril vermelho da Tailândia com carne de porco, legumes, manga, ananás e arroz;12,95;;1;1;4;
1;717;EMENTA;CARIL;;Caril Frango;Caril vermelho da Tailândia com cubinhos de frango, tomate seco e arroz ;11,95;;1;1;4;
1;100270;EMENTA;CARIL;;Caril de Vaca;Caril vermelho da Tailândia com carne de vaca, legumes, manga, ananás e arroz;13,95;;0;1;4;
1;100307;EMENTA;CARIL;;Caril de Legumes;Caril vermelho da Tailândia com legumes salteados, frutas tropicais e frutos secos;10,95;;1;1;4;
1;402;EMENTA;MASSAS;;Linguine Negro à Algarvia;Linguine al nero di seppia com camarão, choquinhos e pesto da casa;11,95;;1;1;5;
1;729;EMENTA;MASSAS;;Linguine Verde  com Camarão ao Alho;Linguine al pesto com camarão, mexilhão, coentros, azeite e alho;11,95;;1;1;5;
1;730;EMENTA;MASSAS;;Esparguete Picante com Camarão ;Esparguete Picante com Camarão, molho de caril, tomate cherry e frutos secos;11,95;;1;1;5;
1;731;EMENTA;MASSAS;;Talharim á Merkado;Tagliatelle com molho de cogumelos, frango, cogumelos e bacon;10,95;;1;1;5;
1;732;EMENTA;MASSAS;Para os nossos Pequeninos: ;Bolonhesa - Kids;Esparguete com carne de bovino á Bolonhesa;6,95;;1;1;5;
1;742;EMENTA;CARNE;;Miminhos de Porco;Bochechas de porco guisadas em vinho verde tinto, arroz, legumes e batata frita;12,95;;1;1;6;
1;100259;EMENTA;CARNE;;Miminhos de Vaca;Bochechas de vaca guisadas acompanhado com legumes e puré de batata;13,95;;0;1;6;
1;100350;EMENTA;CARNE;;Baby Tomahawk ;Tomahawk de Vitela de Leite, cogumelos salteados com camarão e batata frita (Aprox: 450g);21,95;TAMAHOK.jpg;1;1;6;
1;743;EMENTA;CARNE;;Carne Maturada Grelhada  (sob consulta);Entrecôte, Costoleta ou Vazia Maturada, cogumelos salteados com camarão e batata frita  (Aprox: 550g);23;;1;1;6;
1;740;EMENTA;CARNE;;Frango Tropical;Medalhões de Frango grelhados, Toscana em molho doce de abacaxi e amêndoa, legumes e batata frita;12,95;;1;1;6;
1;602;EMENTA;CARNE;;Picanha América do Sul, na Tábua;Picanha grelhada acompanhada com arroz de feijão, frutas tropicais e batata frita  (Aprox: 250g);15,95;;1;1;6;
1;745;EMENTA;CARNE;;Picanha Maturada, na Tábua;Picanha grelhada acompanhada com arroz de feijão, couve salteada com bacon e batata frita  (Aprox: 300g);16,95;;1;1;6;
1;603;EMENTA;CARNE;;Bife à Merkado;Bife da Vazia grelhado, camarão, com cebola caramelizada e batata frita (Aprox: 300g);15,95;;1;1;6;
1;727;EMENTA;CARNE;Para os nossos Pequeninos: ;Hamburguer - Kids;Hambúrguer no prato com batata frita e arroz.;5,95;;1;1;6;
1;728;EMENTA;CARNE;Para os nossos Pequeninos: ;Frango - Kids;Bife de frango no prato com batata frita e arroz.;5,95;;1;1;6;
1;100436;EMENTA;CARNE;;TORNEDÓ;;12,95;;0;1;6;
1;715;EMENTA;CARNE;;Bifes de Frango MK;;10,95;;0;1;6;
1;100377;EMENTA;PEIXE;;Camarão á Merkado;Camarão com molho de azeite, alho e coentros acompanhado com arroz branco e batata frita;12,95;;1;1;7;
1;744;EMENTA;PEIXE;;Arroz Negro á Chef;Camarão,  queijo gorgonzola, abacaxi, noz e arroz negro;13,95;;1;1;7;
1;736;EMENTA;PEIXE;;Polvo á Lagareiro com Camarão;Polvo grelhado com alho e azeite, batatas a murro, legumes e camarão;13,95;;1;1;7;
