;Tamanho font=>;Nome Font;Cor;;Tamanho font=>;Nome Font;Cor;;Tamanho font=>;Nome Font;Cor;;
1;80;beyond_the_mountains;#c49b63;Merkado;20;Poppins, Arial, sans-serif;#fff;A Sua Cozinha;40;Poppins, Arial, sans-serif;#fff;Um espaço de conforto para a toda a familia;sala.jpg
2;80;beyond_the_mountains;#c49b63;Merkado;20;Poppins, Arial, sans-serif;#fff;A Sua Cozinha;40;Poppins, Arial, sans-serif;#fff;Com uma cozinha de proximidade trabalhamos para lhe proporcionar momentos memoráveis ;fora.jpg
